Year,Month,ENSO,NAO
2020,11,1.1,2.54
2021,11,1.6,-0.18
2022,11,0.5,0.69
2023,11,-1.3,-0.32
2024,11,0.8,-0.23
2025,11,1.8,-0.78
1951,12,-1.2,1.32
1952,12,-2.0,-0.43
1953,12,-0.8,-0.47
1954,12,2.3,0.69
1955,12,1.6,0.17
1956,12,1.8,0.1
1957,12,-0.5,0.12
1958,12,-1.0,-0.7
1959,12,1.5,0.44
1960,12,1.3,0.06
1961,12,2.5,-1.48
1962,12,0.3,-1.32
1963,12,-2.0,-1.92
1964,12,-0.5,-0.15
1965,12,0.3,1.37
1966,12,-0.6,0.72
1967,12,-0.9,-0.45
1968,12,0.3,-1.4
1969,12,0.7,-0.28
1970,12,3.2,-1.2
1971,12,0.4,0.6
1972,12,-2.1,0.19
1973,12,3.0,0.32
1974,12,0.3,1.5
1975,12,3.5,0.0
1976,12,-0.6,-1.6
1977,12,-1.7,-1.0
1978,12,-0.1,-1.57
1979,12,-1.2,1.0
1980,12,-0.1,0.78
1981,12,0.8,-0.02
1982,12,-3.7,1.78
1983,12,0.0,0.29
1984,12,-0.2,0.0
1985,12,0.4,0.22
1986,12,-2.4,0.99
1987,12,-0.8,0.32
1988,12,2.0,0.61
1989,12,-0.9,-1.15
1990,12,-0.4,0.22
1991,12,-2.9,0.46
1992,12,-0.9,0.47
1993,12,0.3,1.56
1994,12,-2.0,2.02
1995,12,-0.8,-1.67
1996,12,1.5,-1.41
1997,12,-1.6,-0.96
1998,12,2.3,0.87
1999,12,2.4,1.61
2000,12,1.3,-0.58
2001,12,-1.4,-0.83
2002,12,-1.8,-0.94
2003,12,1.8,0.64
2004,12,-1.3,1.21
2005,12,-0.0,-0.44
2006,12,-0.5,1.34
2007,12,2.7,0.34
2008,12,2.4,-0.28
2009,12,-1.2,-1.93
2010,12,4.8,-1.85
2011,12,4.1,2.52
2012,12,-1.0,0.17
2013,12,0.1,0.95
2014,12,-0.9,1.86
2015,12,-0.9,2.24
2016,12,0.5,0.48
2017,12,-0.2,0.88
2018,12,1.7,0.61
2019,12,-0.9,1.2
2020,12,3.0,-0.3
2021,12,2.5,0.29
2022,12,3.5,-0.15
2023,12,-0.4,1.94
2024,12,1.9,1.21
2025,12,-0.0,-0.65
