index,time,SWE_monthly,Seasonal_Year,SWE_1mo,month,Gringorten_p,SWEI,station_id,lon,lat,Elevation_Category
102,1993-04-01,8232.76367,1992,8232.76367,4,0.9193109700815958,1.4004518256506755,1,-116.138,51.3346,2000_2500m
103,1993-05-01,4757.62888299,1992,4757.62888299,5,0.5339981867633726,0.08532423319968174,1,-116.138,51.3346,2000_2500m
104,1993-10-01,228.88378907,1993,228.88378907,10,0.30734360834088853,-0.5033941031815273,1,-116.138,51.3346,2000_2500m
105,1993-11-01,1182.125,1993,1182.125,11,0.42067089755213055,-0.20017745949905705,1,-116.138,51.3346,2000_2500m
106,1993-12-01,2767.75,1993,2767.75,12,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
107,1994-01-01,4803.25,1993,4803.25,1,0.8739800543970989,1.145408711817518,1,-116.138,51.3346,2000_2500m
108,1994-02-01,5574.5,1993,5574.5,2,0.8059836808703537,0.8631906779003945,1,-116.138,51.3346,2000_2500m
109,1994-03-01,7116.75,1993,7116.75,3,0.7153218495013599,0.5689997626799213,1,-116.138,51.3346,2000_2500m
110,1994-04-01,7282.64161,1993,7282.64161,4,0.7153218495013599,0.5689997626799213,1,-116.138,51.3346,2000_2500m
111,1994-05-01,4743.240251,1993,4743.240251,5,0.4886672710788758,-0.028410760338111296,1,-116.138,51.3346,2000_2500m
112,1994-10-01,463.7762755988,1994,463.7762755988,10,0.6473254759746147,0.3781097736434439,1,-116.138,51.3346,2000_2500m
113,1994-11-01,1646.375,1994,1646.375,11,0.7606527651858569,0.7084039025865259,1,-116.138,51.3346,2000_2500m
114,1994-12-01,3209.00049,1994,3209.00049,12,0.8059836808703537,0.8631906779003945,1,-116.138,51.3346,2000_2500m
115,1995-01-01,4680.625,1994,4680.625,1,0.828649138712602,0.9488405343440052,1,-116.138,51.3346,2000_2500m
116,1995-02-01,5751.25,1994,5751.25,2,0.8513145965548505,1.0420881611080308,1,-116.138,51.3346,2000_2500m
117,1995-03-01,7659.0,1994,7659.0,3,0.9193109700815958,1.4004518256506755,1,-116.138,51.3346,2000_2500m
118,1995-04-01,7825.875,1994,7825.875,4,0.828649138712602,0.9488405343440052,1,-116.138,51.3346,2000_2500m
119,1995-05-01,8358.44434,1994,8358.44434,5,0.8966455122393473,1.2626667296332,1,-116.138,51.3346,2000_2500m
120,1995-10-01,1013.46045,1995,1013.46045,10,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
121,1995-11-01,2114.00171,1995,2114.00171,11,0.9193109700815958,1.4004518256506755,1,-116.138,51.3346,2000_2500m
122,1995-12-01,4015.5,1995,4015.5,12,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
123,1996-01-01,6678.375,1995,6678.375,1,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
124,1996-02-01,8112.875,1995,8112.875,2,0.987307343608341,2.2354882406973298,1,-116.138,51.3346,2000_2500m
125,1996-03-01,9305.625,1995,9305.625,3,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
126,1996-04-01,9520.99805,1995,9520.99805,4,0.9419764279238442,1.5715836352364512,1,-116.138,51.3346,2000_2500m
127,1996-05-01,9702.13087,1995,9702.13087,5,0.9646418857660926,1.8072954283853302,1,-116.138,51.3346,2000_2500m
128,1996-10-01,110.1569824405,1996,110.1569824405,10,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
129,1996-11-01,600.0,1996,600.0,11,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
130,1996-12-01,1774.375,1996,1774.375,12,0.1486854034451496,-1.0420881611080302,1,-116.138,51.3346,2000_2500m
131,1997-01-01,3244.0,1996,3244.0,1,0.2620126926563917,-0.6371526981050464,1,-116.138,51.3346,2000_2500m
132,1997-02-01,3650.25,1996,3650.25,2,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
133,1997-03-01,4672.625,1996,4672.625,3,0.12601994560290117,-1.145408711817518,1,-116.138,51.3346,2000_2500m
134,1997-04-01,3545.5,1996,3545.5,4,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
135,1997-05-01,1428.89453142,1996,1428.89453142,5,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
136,1997-10-01,171.875,1997,171.875,10,0.23934723481414327,-0.7084039025865253,1,-116.138,51.3346,2000_2500m
137,1997-11-01,302.625,1997,302.625,11,0.012692656391659113,-2.2354882406973253,1,-116.138,51.3346,2000_2500m
138,1997-12-01,503.75,1997,503.75,12,0.012692656391659113,-2.2354882406973253,1,-116.138,51.3346,2000_2500m
139,1998-01-01,1713.125,1997,1713.125,1,0.012692656391659113,-2.2354882406973253,1,-116.138,51.3346,2000_2500m
140,1998-02-01,2513.375,1997,2513.375,2,0.012692656391659113,-2.2354882406973253,1,-116.138,51.3346,2000_2500m
141,1998-03-01,3824.5,1997,3824.5,3,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
142,1998-04-01,3978.091796,1997,3978.091796,4,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
143,1998-05-01,588.58691565,1997,588.58691565,5,0.012692656391659113,-2.2354882406973253,1,-116.138,51.3346,2000_2500m
144,1998-10-01,171.25588991703,1998,171.25588991703,10,0.21668177697189486,-0.783448893414017,1,-116.138,51.3346,2000_2500m
145,1998-11-01,381.375,1998,381.375,11,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
146,1998-12-01,971.0,1998,971.0,12,0.03535811423390753,-1.807295428385329,1,-116.138,51.3346,2000_2500m
147,1999-01-01,2624.0,1998,2624.0,1,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
148,1999-02-01,3817.375,1998,3817.375,2,0.19401631912964645,-0.863190677900394,1,-116.138,51.3346,2000_2500m
149,1999-03-01,5456.75,1998,5456.75,3,0.30734360834088853,-0.5033941031815273,1,-116.138,51.3346,2000_2500m
150,1999-04-01,5582.46875,1998,5582.46875,4,0.3300090661831369,-0.43988813139096555,1,-116.138,51.3346,2000_2500m
151,1999-05-01,5590.96679,1998,5590.96679,5,0.6926563916591115,0.5033941031815276,1,-116.138,51.3346,2000_2500m
152,1999-10-01,946.75,1999,946.75,10,0.8966455122393473,1.2626667296332,1,-116.138,51.3346,2000_2500m
153,1999-11-01,1989.37549,1999,1989.37549,11,0.8966455122393473,1.2626667296332,1,-116.138,51.3346,2000_2500m
154,1999-12-01,2952.875,1999,2952.875,12,0.7153218495013599,0.5689997626799213,1,-116.138,51.3346,2000_2500m
155,2000-01-01,4222.375,1999,4222.375,1,0.6246600181323663,0.31774290398788213,1,-116.138,51.3346,2000_2500m
156,2000-02-01,5268.375,1999,5268.375,2,0.7379873073436084,0.6371526981050468,1,-116.138,51.3346,2000_2500m
157,2000-03-01,7298.75,1999,7298.75,3,0.828649138712602,0.9488405343440052,1,-116.138,51.3346,2000_2500m
158,2000-04-01,7360.75,1999,7360.75,4,0.7379873073436084,0.6371526981050468,1,-116.138,51.3346,2000_2500m
159,2000-05-01,6659.60742,1999,6659.60742,5,0.8059836808703537,0.8631906779003945,1,-116.138,51.3346,2000_2500m
160,2000-10-01,132.6547853,2000,132.6547853,10,0.12601994560290117,-1.145408711817518,1,-116.138,51.3346,2000_2500m
161,2000-11-01,453.75,2000,453.75,11,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
162,2000-12-01,1211.125,2000,1211.125,12,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
163,2001-01-01,2778.875,2000,2778.875,1,0.10335448776065276,-1.2626667296331995,1,-116.138,51.3346,2000_2500m
164,2001-02-01,3918.625,2000,3918.625,2,0.23934723481414327,-0.7084039025865253,1,-116.138,51.3346,2000_2500m
165,2001-03-01,5348.375,2000,5348.375,3,0.23934723481414327,-0.7084039025865253,1,-116.138,51.3346,2000_2500m
166,2001-04-01,5732.4502,2000,5732.4502,4,0.37533998186763373,-0.31774290398788213,1,-116.138,51.3346,2000_2500m
